"filename", "language", "Python", "JSON", "CSV", "pip requirements", "Markdown", "Shell Script", "YAML", "comment", "blank", "total"
"/Users/sophiali/Desktop/chip-stroma-analysis/README.md", "Markdown", 0, 0, 0, 0, 71, 0, 0, 0, 8, 79
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/00_paths.yaml", "YAML", 0, 0, 0, 0, 0, 0, 17, 10, 5, 32
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/01_preprocess.yaml", "YAML", 0, 0, 0, 0, 0, 0, 14, 7, 4, 25
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/02_cross_validation.yaml", "YAML", 0, 0, 0, 0, 0, 0, 5, 7, 1, 13
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/03_train.yaml", "YAML", 0, 0, 0, 0, 0, 0, 37, 8, 8, 53
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/05_multiseed.yaml", "YAML", 0, 0, 0, 0, 0, 0, 14, 7, 6, 27
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/06_full_cv.yaml", "YAML", 0, 0, 0, 0, 0, 0, 14, 7, 6, 27
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/07_inference.yaml", "YAML", 0, 0, 0, 0, 0, 0, 8, 7, 2, 17
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/08_evaluate.yaml", "YAML", 0, 0, 0, 0, 0, 0, 5, 7, 2, 14
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/09_visualize.yaml", "YAML", 0, 0, 0, 0, 0, 0, 2, 7, 1, 10
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/10_quantify.yaml", "YAML", 0, 0, 0, 0, 0, 0, 4, 7, 3, 14
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/11_analysis.yaml", "YAML", 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/pipeline.yaml", "YAML", 0, 0, 0, 0, 0, 0, 14, 8, 2, 24
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/sweeps/template.yaml", "YAML", 0, 0, 0, 0, 0, 0, 35, 12, 8, 55
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/sweeps/v1.yaml", "YAML", 0, 0, 0, 0, 0, 0, 31, 12, 7, 50
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/sweeps/v2.yaml", "YAML", 0, 0, 0, 0, 0, 0, 35, 12, 8, 55
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/sweeps/v3.yaml", "YAML", 0, 0, 0, 0, 0, 0, 36, 12, 8, 56
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/sweeps/v4.yaml", "YAML", 0, 0, 0, 0, 0, 0, 36, 12, 8, 56
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/sweeps/v5.yaml", "YAML", 0, 0, 0, 0, 0, 0, 36, 12, 8, 56
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/sweeps/v6.yaml", "YAML", 0, 0, 0, 0, 0, 0, 42, 12, 10, 64
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/sweeps/v7.yaml", "YAML", 0, 0, 0, 0, 0, 0, 42, 12, 10, 64
"/Users/sophiali/Desktop/chip-stroma-analysis/configs/sweeps/v8.yaml", "YAML", 0, 0, 0, 0, 0, 0, 43, 12, 10, 65
"/Users/sophiali/Desktop/chip-stroma-analysis/exploration/all_patches_positive_counts.csv", "CSV", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/sophiali/Desktop/chip-stroma-analysis/exploration/count_positive_counts.py", "Python", 30, 0, 0, 0, 0, 0, 0, 1, 16, 47
"/Users/sophiali/Desktop/chip-stroma-analysis/exploration/create_svs_thumbnails.py", "Python", 22, 0, 0, 0, 0, 0, 0, 1, 13, 36
"/Users/sophiali/Desktop/chip-stroma-analysis/exploration/filtered_positive_counts.csv", "CSV", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/sophiali/Desktop/chip-stroma-analysis/notebooks/00_view_binary_mask.ipynb", "JSON", 0, 77, 0, 0, 0, 0, 0, 0, 1, 78
"/Users/sophiali/Desktop/chip-stroma-analysis/notebooks/01_convert_mask_to_binary.ipynb", "JSON", 0, 114, 0, 0, 0, 0, 0, 0, 1, 115
"/Users/sophiali/Desktop/chip-stroma-analysis/notebooks/02_preprocess.ipynb", "JSON", 0, 758, 0, 0, 0, 0, 0, 0, 1, 759
"/Users/sophiali/Desktop/chip-stroma-analysis/notebooks/03_train.ipynb", "JSON", 0, 159, 0, 0, 0, 0, 0, 0, 1, 160
"/Users/sophiali/Desktop/chip-stroma-analysis/notebooks/04_analyze_sweep.ipynb", "JSON", 0, 145, 0, 0, 0, 0, 0, 0, 1, 146
"/Users/sophiali/Desktop/chip-stroma-analysis/notebooks/05_evaluate.ipynb", "JSON", 0, 173, 0, 0, 0, 0, 0, 0, 1, 174
